Role,Email,Password
CUSTOMER,vrishti.sandhu2476@shopsense.com,Password@123
CUSTOMER,yashasvi.deo6431@shopsense.com,Password@123
CUSTOMER,chavvi.shenoy5790@shopsense.com,Password@123
CUSTOMER,wridesh.raman5162@shopsense.com,Password@123
CUSTOMER,rayaan.badami3812@shopsense.com,Password@123
CUSTOMER,qushi.pandey7068@shopsense.com,Password@123
CUSTOMER,oliver.dar3085@shopsense.com,Password@123
CUSTOMER,kala.shroff3604@shopsense.com,Password@123
CUSTOMER,meghana.babu4281@shopsense.com,Password@123
CUSTOMER,waida.srinivasan1466@shopsense.com,Password@123
CUSTOMER,chasmum.keer7013@shopsense.com,Password@123
CUSTOMER,jackson.mandal1878@shopsense.com,Password@123
CUSTOMER,victor.sama6171@shopsense.com,Password@123
CUSTOMER,baghyawati.chokshi3568@shopsense.com,Password@123
CUSTOMER,warda.mitter9772@shopsense.com,Password@123
CUSTOMER,benjamin.toor4419@shopsense.com,Password@123
CUSTOMER,kevin.kala1167@shopsense.com,Password@123
CUSTOMER,reyansh.sengupta5206@shopsense.com,Password@123
CUSTOMER,bhanumati.mutti2326@shopsense.com,Password@123
CUSTOMER,siddharth.date9276@shopsense.com,Password@123
CUSTOMER,vinaya.gade7574@shopsense.com,Password@123
CUSTOMER,sanaya.wable432@shopsense.com,Password@123
CUSTOMER,ranveer.manne9362@shopsense.com,Password@123
CUSTOMER,ayush.barad4530@shopsense.com,Password@123
CUSTOMER,upkaar.verma2270@shopsense.com,Password@123
CUSTOMER,naveen.peri8237@shopsense.com,Password@123
CUSTOMER,joshua.dhawan8921@shopsense.com,Password@123
CUSTOMER,ronith.vala1601@shopsense.com,Password@123
CUSTOMER,inaya.kapoor2858@shopsense.com,Password@123
CUSTOMER,rajeshri.narain6994@shopsense.com,Password@123
CUSTOMER,lipika.batta6933@shopsense.com,Password@123
CUSTOMER,bhavya.kumer5069@shopsense.com,Password@123
CUSTOMER,urishilla.jani6702@shopsense.com,Password@123
CUSTOMER,alexander.ganesh961@shopsense.com,Password@123
CUSTOMER,kavya.tank9676@shopsense.com,Password@123
CUSTOMER,qushi.kala4965@shopsense.com,Password@123
CUSTOMER,anita.gokhale8588@shopsense.com,Password@123
CUSTOMER,vrishti.varkey3980@shopsense.com,Password@123
CUSTOMER,kashvi.barad3623@shopsense.com,Password@123
CUSTOMER,charles.boase6447@shopsense.com,Password@123
CUSTOMER,imaran.minhas4082@shopsense.com,Password@123
CUSTOMER,ikbal.wali1713@shopsense.com,Password@123
CUSTOMER,frederick.batra1067@shopsense.com,Password@123
CUSTOMER,christopher.srinivas9071@shopsense.com,Password@123
CUSTOMER,guneet.bains3162@shopsense.com,Password@123
CUSTOMER,chaman.dey9116@shopsense.com,Password@123
CUSTOMER,urvashi.krishnamurthy2901@shopsense.com,Password@123
CUSTOMER,irya.more4680@shopsense.com,Password@123
CUSTOMER,harish.varughese3883@shopsense.com,Password@123
CUSTOMER,orinder.sridhar1512@shopsense.com,Password@123
CUSTOMER,vedika.kamdar6334@shopsense.com,Password@123
CUSTOMER,harita.sarraf513@shopsense.com,Password@123
CUSTOMER,nitara.sodhi7453@shopsense.com,Password@123
CUSTOMER,kai.yadav5206@shopsense.com,Password@123
CUSTOMER,ekantika.ramakrishnan1309@shopsense.com,Password@123
CUSTOMER,agastya.hayer9304@shopsense.com,Password@123
CUSTOMER,andrew.sampath6951@shopsense.com,Password@123
CUSTOMER,warjas.setty8682@shopsense.com,Password@123
CUSTOMER,ira.ramachandran6243@shopsense.com,Password@123
CUSTOMER,mekhala.halder684@shopsense.com,Password@123
CUSTOMER,hemang.tara6382@shopsense.com,Password@123
CUSTOMER,ayaan.sha9436@shopsense.com,Password@123
CUSTOMER,naksh.banerjee3140@shopsense.com,Password@123
CUSTOMER,jeet.issac7010@shopsense.com,Password@123
CUSTOMER,nirja.rama121@shopsense.com,Password@123
CUSTOMER,oviya.memon8181@shopsense.com,Password@123
CUSTOMER,sanya.varghese8027@shopsense.com,Password@123
CUSTOMER,yachana.brar3382@shopsense.com,Password@123
CUSTOMER,vasatika.narayanan6087@shopsense.com,Password@123
CUSTOMER,bina.edwin9739@shopsense.com,Password@123
CUSTOMER,kashvi.murty7642@shopsense.com,Password@123
CUSTOMER,dayita.kalla9645@shopsense.com,Password@123
CUSTOMER,kashvi.bhatia5621@shopsense.com,Password@123
CUSTOMER,farhan.oza4838@shopsense.com,Password@123
CUSTOMER,karan.mall3145@shopsense.com,Password@123
CUSTOMER,baljiwan.bhattacharyya3427@shopsense.com,Password@123
CUSTOMER,advika.mander1418@shopsense.com,Password@123
CUSTOMER,isaiah.saraf6492@shopsense.com,Password@123
CUSTOMER,dhruv.behl2048@shopsense.com,Password@123
CUSTOMER,baljiwan.kale1448@shopsense.com,Password@123
CUSTOMER,qushi.mand3771@shopsense.com,Password@123
CUSTOMER,dakshesh.murthy7353@shopsense.com,Password@123
CUSTOMER,gagan.mohan4429@shopsense.com,Password@123
CUSTOMER,darika.banerjee1121@shopsense.com,Password@123
CUSTOMER,peter.nagy1286@shopsense.com,Password@123
CUSTOMER,pranit.prashad9962@shopsense.com,Password@123
CUSTOMER,irya.ganesh1998@shopsense.com,Password@123
CUSTOMER,david.magar7373@shopsense.com,Password@123
CUSTOMER,chanchal.bhandari5652@shopsense.com,Password@123
CUSTOMER,bishakha.nagi8530@shopsense.com,Password@123
CUSTOMER,nachiket.naidu6398@shopsense.com,Password@123
CUSTOMER,samesh.rama1236@shopsense.com,Password@123
CUSTOMER,yashoda.sharma7204@shopsense.com,Password@123
CUSTOMER,mitali.ramanathan1999@shopsense.com,Password@123
CUSTOMER,ira.saran2314@shopsense.com,Password@123
CUSTOMER,shivani.sane8218@shopsense.com,Password@123
CUSTOMER,kala.raman8343@shopsense.com,Password@123
CUSTOMER,yutika.mukherjee4815@shopsense.com,Password@123
CUSTOMER,mekhala.nagi2379@shopsense.com,Password@123
CUSTOMER,ronith.om1556@shopsense.com,Password@123
CUSTOMER,jagat.borah8896@shopsense.com,Password@123
CUSTOMER,indrajit.radhakrishnan4765@shopsense.com,Password@123
CUSTOMER,pranit.sen9195@shopsense.com,Password@123
CUSTOMER,advaith.venkataraman2642@shopsense.com,Password@123
CUSTOMER,nakul.konda4552@shopsense.com,Password@123
CUSTOMER,hardik.dutta9923@shopsense.com,Password@123
CUSTOMER,chanchal.dass3263@shopsense.com,Password@123
CUSTOMER,parth.dara2866@shopsense.com,Password@123
CUSTOMER,frederick.kulkarni4580@shopsense.com,Password@123
CUSTOMER,ayushman.khatri4421@shopsense.com,Password@123
CUSTOMER,ekaja.magar7548@shopsense.com,Password@123
CUSTOMER,faqid.modi9506@shopsense.com,Password@123
CUSTOMER,leela.sani7378@shopsense.com,Password@123
CUSTOMER,sara.bhatia1171@shopsense.com,Password@123
CUSTOMER,bhavani.parmar7248@shopsense.com,Password@123
CUSTOMER,urishilla.arora983@shopsense.com,Password@123
CUSTOMER,yutika.dara1565@shopsense.com,Password@123
CUSTOMER,girish.pai9257@shopsense.com,Password@123
CUSTOMER,edhitha.chandran5921@shopsense.com,Password@123
CUSTOMER,samarth.minhas8892@shopsense.com,Password@123
CUSTOMER,aahana.zacharia2767@shopsense.com,Password@123
CUSTOMER,sanaya.kapoor1339@shopsense.com,Password@123
CUSTOMER,nirja.sridhar9121@shopsense.com,Password@123
CUSTOMER,radha.warrior4455@shopsense.com,Password@123
CUSTOMER,ria.ganesh3379@shopsense.com,Password@123
CUSTOMER,rajeshri.mital7447@shopsense.com,Password@123
CUSTOMER,meera.prasad4640@shopsense.com,Password@123
CUSTOMER,vyanjana.sengupta2399@shopsense.com,Password@123
VENDOR,nathaniel.venkataraman5138@shopsense.com,Vendor@123
VENDOR,ojas.saha1430@shopsense.com,Vendor@123
VENDOR,amol.radhakrishnan1520@shopsense.com,Vendor@123
VENDOR,aditya.goyal5108@shopsense.com,Vendor@123
VENDOR,ekani.ray2350@shopsense.com,Vendor@123
VENDOR,indira.vasa1965@shopsense.com,Vendor@123
VENDOR,manan.modi5172@shopsense.com,Vendor@123
VENDOR,anthony.kala2085@shopsense.com,Vendor@123
VENDOR,jyoti.dutta684@shopsense.com,Vendor@123
VENDOR,alexander.misra9045@shopsense.com,Vendor@123
VENDOR,geetika.chopra5326@shopsense.com,Vendor@123
VENDOR,bhavya.mallick5858@shopsense.com,Vendor@123
VENDOR,aadi.chakraborty215@shopsense.com,Vendor@123
VENDOR,chanchal.mani1439@shopsense.com,Vendor@123
VENDOR,ekaraj.setty2788@shopsense.com,Vendor@123
ADMIN,admin@shopsense.com,admin@123
